Player,Team,PPG,PPG_L10
Dylan Williams,Penn,2.1,
Monty Bowser,Cal Baptist,2.1,3.3
Jayden Dawson,Kansas,2.1,1.8
Javen Colbert,Troy,2.1,0.0
Marvin Musiime-Kamali,Akron,2.1,1.6
Michelangelo Oberti,Penn,2.0,1.0
Tyler Mrus,BYU,2.0,1.9
Noah Haaland,Gonzaga,2.0,1.0
Trent Burns,Missouri,2.0,2.7
Alfredo Addesa,Lehigh,2.0,0.4
Troy Henderson,Tennessee,2.0,1.1
Seryee Lewis,Prairie View,2.0,
Brendan Yarusso,Santa Clara,2.0,3.0
Dominique Diomande,BYU,2.0,2.3
Riley Saunders,North Dakota State,1.9,1.0
Sadiku Ibine Ayo,St. John's,1.9,1.0
Ed Holland III,Howard,1.9,1.3
Cam Hutson,Saint Louis,1.9,2.3
CJ Ingram,Florida,1.9,1.6
Isaiah Denis,North Carolina,1.9,0.0
Jaydon Young,North Carolina,1.8,1.3
Mihailo Petrovic,Illinois,1.8,0.5
Tim Eze,UMBC,1.8,2.0
Steven Jamerson II,UCLA,1.8,1.2
Aidan Sevilla,Idaho,1.8,1.8
Federiko Federiko,Texas A&M,1.8,0.4
Brady Ganley,Miami (OH),1.8,
Hayden Jones,Wisconsin,1.7,1.5
Luke Kearney,Utah State,1.7,0.7
Isaiah Foster,Prairie View,1.7,
Leo Curtis,Nebraska,1.7,0.7
Mitchell Holmes,SMU,1.7,0.0
Owen Ritger,Furman,1.7,0.0
Elijah Gertrude,Virginia,1.7,1.5
Kris Parker,UCF,1.7,0.5
Gunnar Lewis,Furman,1.7,
Alex Massung,Penn,1.7,0.0
Ewan Steele,Idaho,1.6,0.8
Salih Altuntas,Miami,1.6,0.2
BJ Powell,Howard,1.6,1.3
Gabe Cupps,Ohio State,1.6,1.2
Emmanuel Clarton,Troy,1.6,1.0
Brandon Lee,Illinois,1.6,1.0
Jalen Dollar,Cal Baptist,1.5,0.5
Eli Yofan,Miami (OH),1.5,0.0
Dwayne Koroma,UConn,1.5,1.3
Geon Hutchins,Northern Iowa,1.5,0.1
Wade Chiddick,Villanova,1.5,2.0
Calvin Robins Jr.,Howard,1.5,0.4
Mike James,Vanderbilt,1.5,0.2
Francis Chukwudebelu,Santa Clara,1.5,0.8
Corbin Green,Troy,1.5,0.0
Cooper Josefsberg,Florida,1.5,3.0
Joey Matteoni,Iowa,1.5,0.0
Kelvin Odih,St. John's,1.5,0.0
Riley Massey,North Dakota State,1.4,0.4
Ethan Wright,Miami (OH),1.4,
Kevin Gad,Saint Mary's,1.4,
Oscar Goodman,Michigan,1.4,0.0
AJ Redd,Illinois,1.4,1.7
Evan Smith,North Carolina,1.4,
Malick Kordel,Michigan,1.4,
Youssouf Singare,High Point,1.4,0.5
B.J. Davis-Ray,SMU,1.3,0.3
Niklas Polonowski,Penn,1.3,2.3
Kordel Jefferson,Houston,1.3,
Abdullah Ahmed,BYU,1.3,0.4
Nginyu Ngala,Kansas,1.3,0.0
Zach Kinziger,Wisconsin,1.3,0.6
Zion Stanford,Villanova,1.3,
Amir Williams,Hofstra,1.3,
Jake Pike,Lehigh,1.3,3.3
Ryan Bolton Jr.,Prairie View,1.3,0.0
Jason Jakstys,Illinois,1.3,
Marial Akuentok,Texas Tech,1.3,1.2
Jake Stout,UMBC,1.3,0.8
Julian Johnson,Howard,1.3,0.4
Jeremiah Johnson,Howard,1.3,0.5
Tajae Jones,Siena,1.3,
Braden Pierce,Villanova,1.2,2.4
Eric Holland,Kennesaw State,1.2,0.0
Aaron Fine,Purdue,1.2,2.0
James Brown,North Carolina,1.2,
Corey Dunning,Prairie View,1.2,2.8
Cole Sherman,Louisville,1.2,1.5
Ashton Simmons,TCU,1.2,
Alex Lloyd,Florida,1.2,0.4
Viktor Mikic,Florida,1.2,1.8
John Laboy II,Miami,1.2,
Sidi Gueye,Arizona,1.2,0.8
Scottie Ebube,NC State,1.2,0.6
Jackson Kotecki,Miami (OH),1.2,0.0
Ismaila Diagne,Gonzaga,1.2,0.4
Vianney Salatchoum,TCU,1.1,0.8
Rich Brisco,Akron,1.1,0.0
Noah Williamson,Alabama,1.1,0.8
Henry Sisemore,Tennessee State,1.1,
Max Majerle,North Dakota State,1.1,0.5
Will Garlock,Wisconsin,1.1,1.1
Wilder Evers,Kansas,1.1,2.5
Noah Shelby,Texas A&M,1.1,
Elijah Hulsewe,UCF,1.1,2.3
Brandon Klatsky,Georgia,1.1,
Collins Onyejiaka,Alabama,1.0,
Trent Steinour,Clemson,1.0,
Cade Bennett,Saint Mary's,1.0,
Charlie May,Michigan,1.0,
Nolan Groves,Texas Tech,1.0,0.7
Dozie Onyirimba,Kennesaw State,1.0,0.0
Jack Robison,Wisconsin,1.0,0.6
Jordann Dumont,VCU,1.0,0.0
Mathieu Grujicic,Ohio State,1.0,
Chase Courbat,Northern Iowa,1.0,0.0
Payton Kamin,Penn,1.0,
Jayden Leverett,Vanderbilt,1.0,1.1
Xzavion Mitchell,Iowa State,1.0,
Jaylon Dean-Vines,Vanderbilt,0.9,
Eric Mulder,Iowa State,0.9,0.5
Jordy Barnes,Utah State,0.9,0.0
Jeremiah Green,Texas A&M,0.9,
Colin White,Ohio State,0.9,0.9
Conner Groce,Akron,0.9,2.0
Cade Kelderman,Iowa State,0.9,0.2
Ifeanyi Ufochukwu,Duke,0.8,
Christian Fermin,VCU,0.8,
Alex Tsynkevich,Hofstra,0.8,0.3
Spencer Legg,Louisville,0.8,1.5
Jazz Henderson,Texas Tech,0.8,0.8
Joaquim ArauzMoore,Gonzaga,0.8,3.0
Charles Stone,Kennesaw State,0.8,0.0
Stefan Isailovic,Howard,0.8,0.5
Isaac Gard,Wisconsin,0.8,1.0
Martin Carrere,Virginia,0.8,0.2
Jordan Snell,NC State,0.8,0.0
Isaac Holmes,Saint Louis,0.8,0.0
Shane Frazier,Howard,0.8,0.0
Handje Tamba,St. John's,0.7,1.0
Kendall Blue,Nebraska,0.7,0.6
Chris McDermott,Texas A&M,0.7,0.0
Paul Mbiya,Kansas,0.7,0.7
Nicholas Randall,Missouri,0.7,1.2
Thomas Tillman,Furman,0.7,0.0
Jaden Schertz,Saint Louis,0.7,0.0
Zach Tow,Kentucky,0.6,
Cameron Sheffield,Duke,0.6,0.6
Howard Eisley Jr.,Michigan,0.6,
Kameryn Mitchell,Troy,0.6,0.0
Jaden Karuletwa,Arkansas,0.6,0.0
Xavion Staton,BYU,0.6,
Alec Millender,UConn,0.6,0.0
Ayden Kelley,Arkansas,0.6,
Sven Djopmo,Arizona,0.6,0.3
Evan Nelson,Arizona,0.6,0.5
Jack Scott,Duke,0.6,0.4
Jacob Furphy,UConn,0.5,0.0
David Fonville,High Point,0.5,0.0
Johnnie Walter,Penn,0.5,0.0
Elijah Davis,North Carolina,0.5,0.0
Brennan Walton,Michigan State,0.5,0.0
Marcus Jackson,Siena,0.5,
Poohpha Warakulnukroh,UCF,0.5,
Jackson Francois,Arizona,0.5,0.0
Cedric Lath,Houston,0.5,0.4
Nick Sanders,Michigan State,0.5,0.0
Olivier Rioux,Florida,0.5,0.0
Ivan Matlekovic,North Carolina,0.5,
JJ Rembert,McNeese State,0.5,0.0
Adam Stewart,TCU,0.5,
Saahil Thakkar,UMBC,0.5,1.0
Fotis Konstantinidis,St. John's,0.4,0.0
Jacob Koch,Iowa,0.4,
Denham Wojcik,Michigan State,0.4,0.0
Mason Nicholson,Vanderbilt,0.4,
Miles Keeffe,Vanderbilt,0.4,
Samis Calderon,Kansas,0.4,0.2
Carter Lang,Virginia,0.4,0.7
Walker Horn,Kentucky,0.4,
Owen Odom,Virginia,0.4,0.0
Jacob Martin,Alabama,0.4,0.0
Henri Adiassa,Lehigh,0.4,0.3
Elmir Džafic,Arkansas,0.4,0.0
Clarence Massamba,Tennessee,0.4,0.0
Jordyn Kee,Miami,0.4,0.0
Cade Orness,Gonzaga,0.4,0.0
Preston Murphy Jr.,Alabama,0.3,0.0
Tommy Conniff,Lehigh,0.3,0.0
Addison Arnold,Arizona,0.3,0.7
Birgir Irving,High Point,0.3,0.0
Chance Puryear,SMU,0.3,0.8
Anthony Peoples Jr.,UCLA,0.3,0.0
Jack Seidler,UCLA,0.3,0.0
Colt Langdon,NC State,0.3,
Hunter Jacobson,Northern Iowa,0.3,0.6
Casper Pohto,St. John's,0.3,
River Smith,Howard,0.3,0.7
Colin Walton,Michigan State,0.3,0.0
Chris Torres,Siena,0.3,0.0
Justin Bolis,Nebraska,0.2,0.2
Caleb Schoenrock,North Dakota State,0.2,0.5
Anthony Rise,Iowa State,0.2,0.0
Hikaru Awata,Troy,0.2,0.0
Uroš Paunovic,UConn,0.2,0.0
Alex Kovatchev,Florida,0.2,0.0
Blake Fagbemi,Illinois,0.2,0.0
John Holbrook,North Carolina,0.2,
Oliver Faubert,Saint Mary's,0.2,0.0
Jaden Newell,Georgia,0.2,0.0
Will Hanke,Louisville,0.2,0.0
Amere Brown,Arkansas,0.1,
Markel Jennings,Georgia,0.0,
Danny Murray,Siena,0.0,0.0
Cooper Nadler,Siena,0.0,
Juan Reyna,Santa Clara,0.0,
Malcolm Flaggs,Villanova,0.0,
Trey Stuart,TCU,0.0,0.0
Coleson Messer,Vanderbilt,0.0,
Braylen Nash,Ohio State,0.0,0.0
Drew McElroy,TCU,0.0,
Onyx Nnani,South Florida,0.0,
Campbell Duncan,Tennessee,0.0,
Davin Cosby Jr.,Kennesaw State,0.0,
Jack Lusk,Purdue,0.0,0.0
Brendan Reed,Lehigh,0.0,0.0
Klark James,Alabama,0.0,
Jack Fagan,Alabama,0.0,
Jack Francis,Texas Tech,0.0,0.0
Malick Diallo,TCU,0.0,
Bradyn Foster,Penn,0.0,
Jace Rayl,Purdue,0.0,0.0
Niccolo Kalischer-Stork,SMU,0.0,
Jacob McFarland,Houston,0.0,0.0
Jared McGregor,BYU,0.0,0.0
Rrezon Elezaj,UConn,0.0,
Nigel Walls,SMU,0.0,0.0
Grant Hurst,Tennessee,0.0,
Gavin Paull,Tennessee,0.0,
Trey Utter,SMU,0.0,
Jackson Cook,Arizona,0.0,
Riccardo Greppi,Wisconsin,0.0,0.0
Zach Johnson,UCF,0.0,0.0
Desmond Roberts,Virginia,0.0,0.0
Justin Cross,Kansas,0.0,0.0
Christian Horry,UCLA,0.0,
Will Thengvall,Kansas,0.0,0.0
Joseph Carter,Tennessee State,0.0,
Mosi Clayton,Siena,0.0,0.0
